     Adapt (0)       |      Adapt (0)      
-------------------------------------------
        2.96         |         2.96        
        2.99         |         2.99        
        2.93         |         2.93        
        2.81         |         2.81        
        3.0          |         3.0         
        2.97         |         2.97        
        3.0          |         3.0         
        2.93         |         2.93        
        2.9          |         2.9         
        2.9          |         2.9         
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        2.97         |         2.97        
        3.0          |         3.0         
        2.89         |         2.89        
        3.0          |         3.0         
        2.99         |         2.99        

     Adapt (0)       |     Neutral (0)     
-------------------------------------------
        1.37         |         3.87        
        1.56         |         3.96        
        1.6          |         3.1         
        2.16         |         2.66        
        2.31         |         1.81        
        2.08         |         2.08        
        1.9          |         1.9         
        2.06         |         2.06        
        2.21         |         2.21        
        2.48         |         2.48        
        2.13         |         2.13        
        2.44         |         2.44        
        2.44         |         2.44        
        2.4          |         2.4         
        2.25         |         2.25        
        2.39         |         2.39        
        2.31         |         2.31        
        2.46         |         2.46        
        2.13         |         2.13        
        2.29         |         2.29        

     Adapt (0)       |     Tit4TatB (0)    
-------------------------------------------
        0.05         |         4.8         
        2.94         |         2.94        
        2.99         |         2.99        
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        2.87         |         2.87        
        2.96         |         2.96        
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        2.9          |         2.9         
        3.0          |         3.0         
        3.0          |         3.0         
        2.87         |         2.87        
        2.97         |         2.97        
        2.88         |         2.88        
        3.0          |         3.0         
        3.0          |         3.0         
        2.9          |         2.9         

     Adapt (0)       |   AlwaysDefect (0)  
-------------------------------------------
        0.01         |         4.96        
        0.12         |         4.52        
        0.25         |         4.0         
        0.43         |         3.28        
        0.64         |         2.44        
        0.86         |         1.86        
        1.0          |         1.0         
        1.0          |         1.0         
        1.0          |         1.0         
        1.0          |         1.0         
        1.0          |         1.0         
        1.29         |         1.29        
        1.21         |         1.21        
        1.0          |         1.0         
        1.0          |         1.0         
        1.26         |         1.26        
        1.37         |         1.37        
        1.0          |         1.0         
        1.32         |         1.32        
        1.06         |         1.06        

     Adapt (0)       |     Average5 (0)    
-------------------------------------------
        3.0          |         3.0         
        3.0          |         3.0         
        2.85         |         2.85        
        3.0          |         3.0         
        2.93         |         2.93        
        3.0          |         3.0         
        2.98         |         2.98        
        3.0          |         3.0         
        2.99         |         2.99        
        3.0          |         3.0         
        2.83         |         2.83        
        2.98         |         2.98        
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        2.98         |         2.98        
        3.0          |         3.0         
        2.89         |         2.89        
        3.0          |         3.0         
        2.97         |         2.97        

     Adapt (0)       | AlwaysCooperate (0) 
-------------------------------------------
        2.99         |         2.99        
        2.98         |         2.98        
        2.83         |         2.83        
        2.94         |         2.94        
        2.77         |         2.77        
        2.88         |         2.88        
        2.95         |         2.95        
        3.0          |         3.0         
        2.94         |         2.94        
        2.88         |         2.88        
        2.91         |         2.91        
        3.0          |         3.0         
        3.0          |         3.0         
        2.87         |         2.87        
        3.0          |         3.0         
        2.81         |         2.81        
        2.9          |         2.9         
        3.0          |         3.0         
        2.91         |         2.91        
        2.93         |         2.93        

     Adapt (0)       |     Tit4Tat (0)     
-------------------------------------------
        3.0          |         3.0         
        3.0          |         3.0         
        3.0          |         3.0         
        2.97         |         2.97        
        2.98         |         2.98        
        3.0          |         3.0         
        3.0          |         3.0         
        2.99         |         2.99        
        2.9          |         2.9         
        3.0          |         3.0         
        2.89         |         2.89        
        3.0          |         3.0         
        3.0          |         3.0         
        2.85         |         2.85        
        3.0          |         3.0         
        2.97         |         2.97        
        3.0          |         3.0         
        2.91         |         2.91        
        3.0          |         3.0         
        3.0          |         3.0         

    Neutral (0)      |     Neutral (0)     
-------------------------------------------
        2.25         |         2.25        
        2.11         |         2.11        
        2.13         |         2.13        
        2.06         |         2.06        
        2.17         |         2.17        
        2.31         |         2.31        
        2.31         |         2.31        
        2.54         |         2.54        
        2.23         |         2.23        
        2.06         |         2.06        
        2.23         |         2.23        
        2.33         |         2.33        
        1.97         |         1.97        
        2.44         |         2.44        
        1.97         |         1.97        
        2.08         |         2.08        
        2.31         |         2.31        
        2.54         |         2.54        
        2.27         |         2.27        
