TitForTat            | TitForTat           
-------------------------------------------
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          
         3           |          3          

