round,investment,payoff
1,1.0,0.0
2,0.6,0.2
3,0.36,0.32
4,0.216,0.39
5,0.1296,0.44
6,0.07776,0.46
7,0.046655999999999996,0.48
8,0.027993599999999997,0.49
9,0.016796159999999997,0.49
10,0.010077695999999997,0.49
11,0.006046617599999998,0.5
12,0.003627970559999999,0.5
13,0.002176782335999999,0.5
14,0.0013060694015999993,0.5
15,0.0007836416409599996,0.5
16,0.00047018498457599973,0.5
17,0.00028211099074559984,0.5
18,0.00016926659444735988,0.5
19,0.00010155995666841592,0.5
20,6.093597400104955e-05,0.5
