Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
0, 100.00, 0, 0.00
