Random-Continuous.parameter, Random-Continuous.points, Adapt-Discrete.parameter, Adapt-Discrete.points
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
0, 25.00, 0, 10.00
1, 24.95, 0, 10.10
1, 25.05, 0, 9.90
1, 24.85, 0, 10.30
1, 25.05, 0, 9.90
1, 24.90, 0, 10.20
1, 24.95, 0, 10.10
1, 25.05, 0, 9.90
1, 25.10, 0, 9.80
1, 24.85, 0, 10.30
1, 25.25, 0, 9.50
1, 25.00, 0, 10.00
1, 24.90, 0, 10.20
1, 24.90, 0, 10.20
1, 24.85, 0, 10.30
1, 24.90, 0, 10.20
1, 24.95, 0, 10.10
1, 25.15, 0, 9.70
1, 25.10, 0, 9.80
1, 24.90, 0, 10.20
1, 25.00, 0, 10.00
1, 25.05, 0, 9.90
1, 24.90, 0, 10.20
1, 25.15, 0, 9.70
1, 25.00, 0, 10.00
1, 25.00, 0, 10.00
1, 24.95, 0, 10.10
1, 24.90, 0, 10.20
1, 25.05, 0, 9.90
1, 24.90, 0, 10.20
1, 24.90, 0, 10.20
1, 24.95, 0, 10.10
1, 24.95, 0, 10.10
1, 24.90, 0, 10.20
1, 24.80, 0, 10.40
1, 25.10, 0, 9.80
1, 24.90, 0, 10.20
1, 25.05, 0, 9.90
1, 25.10, 0, 9.80
1, 25.05, 0, 9.90
1, 25.05, 0, 9.90
1, 25.20, 0, 9.60
1, 25.00, 0, 10.00
1, 25.05, 0, 9.90
1, 24.90, 0, 10.20
1, 24.95, 0, 10.10
1, 25.10, 0, 9.80
1, 25.00, 0, 10.00
1, 24.95, 0, 10.10
1, 24.95, 0, 10.10
1, 25.05, 0, 9.90
1, 24.95, 0, 10.10
1, 25.00, 0, 10.00
1, 25.10, 0, 9.80
1, 25.20, 0, 9.60
1, 25.10, 0, 9.80
1, 24.90, 0, 10.20
1, 25.15, 0, 9.70
1, 25.05, 0, 9.90
1, 25.15, 0, 9.70
1, 24.75, 0, 10.50
1, 24.95, 0, 10.10
1, 24.95, 0, 10.10
1, 25.15, 0, 9.70
1, 25.00, 0, 10.00
1, 25.00, 0, 10.00
1, 24.90, 0, 10.20
1, 25.00, 0, 10.00
1, 25.00, 0, 10.00
1, 25.20, 0, 9.60
1, 25.00, 0, 10.00
1, 25.05, 0, 9.90
1, 25.25, 0, 9.50
1, 24.85, 0, 10.30
1, 25.10, 0, 9.80
1, 25.00, 0, 10.00
1, 25.10, 0, 9.80
1, 25.10, 0, 9.80
1, 25.05, 0, 9.90
1, 25.10, 0, 9.80
1, 24.90, 0, 10.20
1, 25.10, 0, 9.80
1, 25.05, 0, 9.90
1, 25.05, 0, 9.90
1, 25.10, 0, 9.80
1, 24.90, 0, 10.20
1, 25.00, 0, 10.00
1, 25.00, 0, 10.00
1, 25.05, 0, 9.90
1, 25.00, 0, 10.00
1, 24.90, 0, 10.20
1, 25.00, 0, 10.00
1, 25.15, 0, 9.70
1, 24.95, 0, 10.10
1, 24.95, 0, 10.10
1, 24.85, 0, 10.30
1, 25.00, 0, 10.00
1, 25.15, 0, 9.70
1, 24.90, 0, 10.20
1, 24.85, 0, 10.30
1, 24.80, 0, 10.40
2, 25.00, 0, 10.00
2, 25.30, 0, 9.40
2, 25.00, 0, 10.00
2, 25.10, 0, 9.80
2, 25.40, 0, 9.20
2, 25.20, 0, 9.60
2, 24.90, 0, 10.20
2, 24.80, 0, 10.40
2, 25.30, 0, 9.40
2, 25.10, 0, 9.80
2, 24.80, 0, 10.40
2, 25.20, 0, 9.60
2, 25.00, 0, 10.00
2, 25.20, 0, 9.60
2, 25.00, 0, 10.00
2, 24.50, 0, 11.00
2, 24.80, 0, 10.40
2, 25.10, 0, 9.80
2, 24.80, 0, 10.40
2, 25.20, 0, 9.60
2, 25.00, 0, 10.00
2, 25.30, 0, 9.40
2, 25.50, 0, 9.00
2, 24.50, 0, 11.00
2, 25.00, 0, 10.00
2, 25.10, 0, 9.80
2, 25.10, 0, 9.80
2, 25.20, 0, 9.60
2, 25.00, 0, 10.00
2, 25.50, 0, 9.00
2, 24.60, 0, 10.80
2, 25.10, 0, 9.80
2, 25.00, 0, 10.00
2, 24.80, 0, 10.40
2, 25.00, 0, 10.00
2, 25.30, 0, 9.40
2, 25.10, 0, 9.80
2, 24.90, 0, 10.20
2, 24.80, 0, 10.40
2, 25.40, 0, 9.20
2, 24.90, 0, 10.20
