Random-Discrete.parameter, Random-Discrete.points, Adapt-Continuous.parameter, Adapt-Continuous.points
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
0, 30.00, 0, 0.00
