Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
0, 14.00, 0, 14.00
1, 15.20, 0, 10.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.00, 0, 14.00
1, 14.00, 0, 14.00
1, 14.90, 0, 11.00
1, 14.00, 0, 14.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 15.20, 0, 10.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.00, 0, 14.00
1, 14.30, 0, 13.00
1, 14.90, 0, 11.00
1, 15.20, 0, 10.00
1, 14.90, 0, 11.00
1, 15.20, 0, 10.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 15.20, 0, 10.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 15.20, 0, 10.00
1, 14.30, 0, 13.00
1, 15.50, 0, 9.00
1, 15.20, 0, 10.00
1, 15.20, 0, 10.00
1, 14.90, 0, 11.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.90, 0, 11.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 14.00, 0, 14.00
1, 15.50, 0, 9.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 15.50, 0, 9.00
1, 14.60, 0, 12.00
1, 15.20, 0, 10.00
1, 14.90, 0, 11.00
1, 14.00, 0, 14.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.90, 0, 11.00
1, 14.60, 0, 12.00
1, 14.90, 0, 11.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 14.30, 0, 13.00
1, 15.20, 0, 10.00
1, 14.30, 0, 13.00
1, 15.50, 0, 9.00
1, 15.20, 0, 10.00
1, 14.60, 0, 12.00
1, 14.30, 0, 13.00
1, 14.60, 0, 12.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 16.10, 0, 7.00
2, 15.20, 0, 10.00
2, 15.50, 0, 9.00
2, 15.50, 0, 9.00
2, 14.60, 0, 12.00
2, 15.20, 0, 10.00
2, 14.90, 0, 11.00
2, 15.20, 0, 10.00
2, 14.30, 0, 13.00
2, 16.40, 0, 6.00
2, 14.30, 0, 13.00
2, 14.90, 0, 11.00
2, 16.10, 0, 7.00
2, 15.50, 0, 9.00
2, 15.80, 0, 8.00
2, 14.90, 0, 11.00
2, 16.10, 0, 7.00
2, 15.20, 0, 10.00
2, 15.50, 0, 9.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 14.90, 0, 11.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 15.20, 0, 10.00
2, 14.30, 0, 13.00
2, 14.90, 0, 11.00
2, 15.20, 0, 10.00
2, 14.90, 0, 11.00
2, 14.90, 0, 11.00
2, 14.90, 0, 11.00
2, 15.20, 0, 10.00
2, 14.30, 0, 13.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 14.90, 0, 11.00
2, 16.10, 0, 7.00
2, 14.30, 0, 13.00
2, 15.80, 0, 8.00
2, 16.10, 0, 7.00
2, 15.20, 0, 10.00
2, 16.10, 0, 7.00
2, 15.80, 0, 8.00
2, 16.10, 0, 7.00
2, 14.60, 0, 12.00
2, 15.80, 0, 8.00
2, 15.20, 0, 10.00
2, 15.50, 0, 9.00
2, 15.50, 0, 9.00
2, 14.90, 0, 11.00
2, 14.60, 0, 12.00
2, 15.80, 0, 8.00
2, 16.10, 0, 7.00
2, 14.60, 0, 12.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 14.60, 0, 12.00
2, 15.80, 0, 8.00
2, 15.50, 0, 9.00
2, 15.20, 0, 10.00
2, 14.90, 0, 11.00
2, 14.60, 0, 12.00
2, 14.90, 0, 11.00
2, 14.60, 0, 12.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 16.70, 0, 5.00
2, 14.30, 0, 13.00
2, 14.00, 0, 14.00
2, 14.60, 0, 12.00
2, 15.50, 0, 9.00
2, 15.20, 0, 10.00
2, 14.60, 0, 12.00
2, 15.20, 0, 10.00
2, 14.30, 0, 13.00
2, 14.90, 0, 11.00
2, 15.50, 0, 9.00
2, 14.90, 0, 11.00
2, 15.80, 0, 8.00
2, 16.70, 0, 5.00
2, 15.20, 0, 10.00
2, 14.30, 0, 13.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 14.90, 0, 11.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 15.20, 0, 10.00
2, 14.60, 0, 12.00
2, 15.20, 0, 10.00
2, 15.50, 0, 9.00
2, 15.20, 0, 10.00
3, 15.20, 0, 10.00
3, 16.10, 0, 7.00
3, 15.50, 0, 9.00
3, 16.40, 0, 6.00
3, 15.50, 0, 9.00
3, 16.70, 0, 5.00
3, 15.20, 0, 10.00
3, 15.50, 0, 9.00
3, 14.60, 0, 12.00
3, 16.10, 0, 7.00
3, 15.50, 0, 9.00
3, 16.40, 0, 6.00
3, 15.80, 0, 8.00
3, 15.20, 0, 10.00
3, 16.70, 0, 5.00
3, 15.80, 0, 8.00
3, 15.50, 0, 9.00
3, 15.50, 0, 9.00
3, 15.80, 0, 8.00
3, 16.40, 0, 6.00
3, 15.80, 0, 8.00
3, 16.10, 0, 7.00
3, 16.10, 0, 7.00
3, 15.50, 0, 9.00
3, 16.10, 0, 7.00
