  AlwaysDefect (0)   |   AlwaysDefect (0)  
-------------------------------------------
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
         1           |          1          
