AlwaysCooperate                    TitForTat
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3
3                    3

AlwaysCooperate                    AlwaysDefect
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
0                    5
